fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,k_value,l_value,m_value,percentage_free_sulphur,n_value
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,0,6.69,3.345,0.64,20.90909091,0.492
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,0,8.01,4.005,0.67,27.5,0.628
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,0,8.33,4.165,1.016,37,0.575
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,0,7.81,3.905,0.63,25,0.61
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,1,8.445,4.2225,0.672,20,0.641
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,0,7.375,3.6875,0.629,48.23529412,0.7785
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,1,7.585,3.7925,0.675,16.81818182,0.8025
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,0,8.955,4.4775,0.743,75.33333333,0.7555
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,1,7.505,3.7525,0.593,20.75,3.2705
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,0,5.52,2.76,0.653,38.46153846,0.6415
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,1,8.445,4.2225,0.636,36,1.693
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,1,8.4,4.2,0.686,50,0.791
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,1,8.48,4.24,0.796,23.07692308,0.719
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,0,6.83,3.415,0.652,27.14285714,0.554
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,0,7.75,3.875,0.904,72.5,1.879
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,0,7.75,3.875,0.904,72.5,1.879
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,0,9.41,4.705,0.598,27.05882353,0.944
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,1,7.99,3.995,1.232,17.5,0.986
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,0,8.76,4.38,1.269,25.55555556,0.7385
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,0,7.47,3.735,0.57,22,0.569
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,0,5.12,2.56,0.614,81.25,0.687
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,0,8.635,4.3175,0.844,51.81818182,0.803
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,0,8.99,4.495,0.693,30.83333333,0.6405
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,0,6.8,3.4,0.626,24,0.559
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,0,5.91,2.955,0.654,80,0.531
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,0,9.46,4.73,0.814,57.5,0.599
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,1,7.12,3.56,0.699,18.75,0.7025
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,1,7.1,3.55,0.708,23.33333333,0.672
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,0,8.98,4.49,0.641,39.66666667,1.0125
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,1,8.11,4.055,0.74,22.12121212,0.925
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,0,8.32,4.16,0.614,18,1.19
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,0,10.62,5.31,0.7,25,1.169
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,0,8.13,4.065,0.881,22,1.6095
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,0,8.39,4.195,0.666,31.76470588,0.764
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,1,7.69,3.845,0.614,51.11111111,0.819
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,0,9.2,4.6,0.719,27.36842105,0.7795
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,0,8.39,4.195,0.825,56,0.6955
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,1,8.02,4.01,0.705,29.16666667,0.6445
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,0,7.735,3.8675,0.651,41.53846154,0.6505
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,0,7.925,3.9625,0.476,27.5,1.448
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,0,7.925,3.9625,0.476,27.5,1.448
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,0,8.02,4.01,0.659,35.45454545,0.5115
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,0,7.305,3.6525,0.656,25,0.532
9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,0,9.62,4.81,0.864,24.07407407,0.751
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,1,8.705,4.3525,1.024,23.75,0.617
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,1,8.33,4.165,0.616,18,0.624
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,0,8.37,4.185,0.568,56.47058824,0.72
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,0,8.39,4.195,0.564,52.22222222,0.656
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,0,8.975,4.4875,0.614,39.09090909,0.724
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,0,10.02,5.01,0.914,29.64285714,0.905
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,0,9.21,4.605,0.753,46.66666667,0.8345
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,0,9.21,4.605,0.753,46.66666667,0.8345
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,1,7.585,3.7925,0.654,21.42857143,0.772
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,0,7.45,3.725,0.606,66.66666667,0.667
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,0,8.925,4.4625,1.2,44.07407407,0.53
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,0,6.65,3.325,0.629,50,0.5545
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,0,8.23,4.115,1.744,30.45454545,0.942
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,0,7.9,3.95,0.656,34.76190476,0.737
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,0,7.97,3.985,1.541,31.875,0.7925
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,1,6.6,3.3,0.849,33.88888889,0.6705
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,0,7.45,3.725,0.666,21.05263158,0.728
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,1,9.09,4.545,2.06,68,0.681
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,0,8.19,4.095,0.702,34.44444444,0.653
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,0,9.69,4.845,1.327,36.76470588,0.7715
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,0,7.62,3.81,0.606,30,0.594
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,0,8.42,4.21,0.619,33.33333333,0.6615
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,1,9.09,4.545,2.06,68,0.681
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,0,9.09,4.545,2.09,70,0.713
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,0,8.19,4.095,0.702,34.44444444,0.653
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,0,6.02,3.01,0.525,20.73170732,0.4505
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,1,5.3,2.65,0.658,62.35294118,0.753
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,0,7.575,3.7875,0.662,28.75,0.951
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,0,7.5,3.75,0.7,73.33333333,0.685
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,0,8.5,4.25,0.639,20,0.8015
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,1,8.645,4.3225,0.67,26.92307692,0.646
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,1,8.91,4.455,0.694,45.45454545,0.732
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,1,8.3,4.15,0.635,27.5,0.6675
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,1,8.645,4.3225,0.67,26.92307692,0.646
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,0,8.675,4.3375,0.587,54.16666667,0.7125
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,0,7.69,3.845,0.55,72,0.743
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,0,8.675,4.3375,0.587,54.16666667,0.7125
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,0,8.21,4.105,1.777,38.33333333,0.8795
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,0,6.83,3.415,0.878,42.66666667,0.616
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,1,8.33,4.165,0.891,44.44444444,0.9015
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,0,8.885,4.4425,0.812,41.35135135,0.765
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,0,8.36,4.18,1.034,39.16666667,0.63
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,0,9.02,4.51,0.744,98.18181818,0.72
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,0,9,4.5,0.745,79.28571429,0.7225
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,1,10.41,5.205,0.75,20.90909091,0.818
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,0,8.36,4.18,1.034,39.16666667,0.63
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,1,9.8,4.9,0.72,47.69230769,0.767
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,1,8.84,4.42,0.687,36.36363636,0.6645
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,1,8.36,4.18,0.582,40,0.665
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,1,9.35,4.675,0.719,40,0.7275
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,1,7.69,3.845,0.637,40.45454545,0.6045
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,0,8.37,4.185,0.748,89,0.617
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,1,9.35,4.675,0.719,40,0.7275
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,0,7.995,3.9975,0.595,43.33333333,0.7875
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,0,8.71,4.355,0.61,30.90909091,0.82
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,0,8.3,4.15,0.562,48.57142857,0.555
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,0,9.62,4.81,0.846,33.33333333,0.651
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,0,9.53,4.765,0.571,40,0.5505
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,0,9.43,4.715,0.562,40,0.581
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,1,8.59,4.295,0.985,53.33333333,0.6045
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,0,6.48,3.24,0.642,31.66666667,0.606
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,0,8.745,4.3725,0.778,44.66666667,0.771
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,0,6.1,3.05,0.679,58.23529412,0.7325
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,0,6.1,3.05,0.679,58.23529412,0.7325
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,1,7.1,3.55,0.64,15.29411765,0.482
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,1,8.94,4.47,0.634,22.30769231,0.712
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,0,9.145,4.5725,0.91,39.375,0.637
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,0,9.015,4.5075,0.859,52,0.6145
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,0,7.615,3.8075,0.721,34.61538462,0.7125
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,0,8.36,4.18,0.621,70,0.7085
7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,0,8.36,4.18,0.621,63.52941176,0.6785
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,0,9.145,4.5725,0.91,39.375,0.637
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,0,9.015,4.5075,0.859,52,0.6145
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,1,5.54,2.77,0.84,23.33333333,0.565
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,0,6.69,3.345,0.646,66.66666667,0.559
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,1,5.54,2.77,0.84,23.33333333,0.565
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,0,8.77,4.385,0.737,44.0625,0.7085
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,0,6.48,3.24,0.607,44.76190476,0.5875
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,0,8.09,4.045,1.036,88,0.65
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,1,7.39,3.695,0.654,25,0.747
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,1,8.6,4.3,0.699,39.09090909,0.9725
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,1,7.63,3.815,0.607,22,0.7625
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,0,9.72,4.86,2.61,21.5625,1.525
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,0,8.1,4.05,0.635,39.6,0.5935
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,0,8.1,4.05,0.635,39.6,0.5935
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,0,7.53,3.765,0.79,44.48275862,1.769
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,0,7.53,3.765,0.781,45.71428571,1.7695
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,0,7.53,3.765,0.79,44.48275862,1.769
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,0,7.53,3.765,0.781,45.71428571,1.7695
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,0,7.78,3.89,0.573,18.33333333,0.6965
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,1,7.4,3.7,0.649,47.77777778,0.6455
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,0,8.55,4.275,0.65,28.57142857,0.651
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,0,8.28,4.14,1.152,22.22222222,0.43
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,1,8.33,4.165,0.636,18.23529412,0.556
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,0,8,4,0.56,33.61111111,2.277
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,0,7.89,3.945,0.56,34.57142857,2.247
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,0,8.43,4.215,0.72,68.57142857,0.656
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,0,7.44,3.72,0.605,56.11111111,0.6925
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,0,7.85,3.925,0.552,24.70588235,0.522
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,1,7.43,3.715,0.639,40,0.6885
7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,0,8.205,4.1025,1.95,42,0.768
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,0,8.785,4.3925,0.388,20,0.575
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,1,8.42,4.21,0.683,30,0.6705
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,1,8.42,4.21,0.683,30,0.6705
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,1,8.02,4.01,0.638,17.5,0.614
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,0,7.68,3.84,0.55,50,0.682
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,0,7.4,3.7,0.865,25.78947368,0.5005
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,0,7.68,3.84,0.55,50,0.682
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,1,8.02,4.01,0.697,47.5,0.8175
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,0,7.805,3.9025,0.628,28.57142857,0.784
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,0,9.41,4.705,0.657,42,0.7815
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,0,9.41,4.705,0.657,42,0.7815
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,0,9.51,4.755,1.29,47.82608696,0.833
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,0,7.93,3.965,0.596,26.25,0.792
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,0,7.41,3.705,0.657,59.09090909,0.6185
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,1,7.32,3.66,0.659,77.5,0.6515
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,0,9.21,4.605,0.641,32.69230769,0.7695
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,0,7.79,3.895,0.632,47.85714286,0.737
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,0,8.405,4.2025,0.574,28.88888889,0.842
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,0,8.4,4.2,0.634,95.33333333,0.708
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,0,8.39,4.195,0.632,84.70588235,0.675
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,0,8.7,4.35,0.697,60.47619048,0.9785
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,1,6.77,3.385,0.694,23.33333333,0.657
6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,0,7.43,3.715,0.709,78.75,1.2135
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,0,8.15,4.075,0.621,40,0.7375
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,0,8.15,4.075,0.621,40,0.7375
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,0,8.39,4.195,0.614,50,0.703
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,0,7.88,3.94,0.664,36.66666667,0.817
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,1,11.8,5.9,1.037,22.5,0.7535
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,1,6.235,3.1175,0.896,71.53846154,0.399
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,0,7.99,3.995,0.491,25.83333333,0.6725
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,1,9.92,4.96,0.876,26.66666667,0.542
8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,0,9.17,4.585,1.127,37.17948718,0.7745
6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,0,7.3,3.65,0.865,30.625,0.5095
7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,0,7.42,3.71,0.638,24.375,0.594
7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,1,7.43,3.715,0.649,26.42857143,0.5965
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,1,13.1,6.55,0.865,31.11111111,0.9755
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,1,13.1,6.55,0.865,31.11111111,0.9755
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,0,8.37,4.185,0.599,46.15384615,0.6365
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,0,8.24,4.12,0.77,52.77777778,0.916
11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,1,11.3,5.65,0.934,27.14285714,0.773
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,1,10.23,5.115,0.899,38,0.7395
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,1,8.725,4.3625,0.643,62,0.9295
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,1,12.04,6.02,0.729,30,0.7875
8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,0,8.77,4.385,0.49,23.21428571,0.742
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,1,8.535,4.2675,0.802,41,0.782
7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,0,7.49,3.745,0.82,46.53846154,1.808
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,0,9.325,4.6625,0.671,37.69230769,0.6825
